date,value
2023-05-12,1608.0
2023-05-13,2368.0
2023-05-14,4268.0
2023-05-15,2796.0
2023-05-16,1063.0
2023-05-17,2481.0
2023-05-18,4032.0
2023-05-19,1011.0
2023-05-20,10580.0
2023-05-21,1827.0
2023-05-22,3762.0
2023-05-23,6659.0
2023-05-24,1752.0
2023-05-25,831.0
2023-05-26,2667.0
2023-05-27,476.0
2023-05-28,2900.0
2023-05-29,153.0
2023-05-30,3244.0
2023-05-31,5619.0
2023-06-01,5831.0
2023-06-02,7391.0
2023-06-03,3807.0
2023-06-04,4909.0
2023-06-05,6545.0
2023-06-06,2779.0
2023-06-07,9355.0
2023-06-08,4688.0
2023-06-09,12012.0
2023-06-10,260.0
2023-06-11,4006.0
2023-06-12,5752.0
2023-06-13,1122.0
2023-06-14,4774.0
2023-06-15,8848.0
2023-06-16,50.0
2023-06-17,1651.0
2023-06-18,1858.0
2023-06-19,6647.0
2023-06-20,3154.0
2023-06-21,1925.0
2023-06-22,157.0
2023-06-23,3017.0
2023-06-24,7030.0
2023-06-25,2169.0
2023-06-26,287.0
2023-06-27,2513.0
2023-06-28,1429.0
2023-06-29,2870.0
2023-06-30,6263.0
2023-07-01,4817.0
2023-07-02,3157.0
2023-07-03,654.0
2023-07-04,2621.0
2023-07-05,10261.0
2023-07-06,7119.0
2023-07-07,4677.0
2023-07-08,1556.0
2023-07-09,1536.0
2023-07-10,4082.0
2023-07-11,9267.0
2023-07-12,1460.0
2023-07-13,144.0
2023-07-14,6595.0
2023-07-15,2602.0
2023-07-16,2216.0
2023-07-17,3138.0
2023-07-18,314.0
2023-07-19,2259.0
2023-07-20,141.0
2023-07-21,3979.0
2023-07-22,1193.0
2023-07-23,2265.0
2023-07-24,2997.0
2023-07-25,775.0
2023-07-26,5338.0
2023-07-27,2514.0
2023-07-28,901.0
2023-07-29,4011.0
2023-07-30,6799.0
2023-07-31,9982.0
2023-08-01,1896.0
2023-08-02,3296.0
2023-08-03,4649.0
2023-08-04,658.0
2023-08-05,1194.0
2023-08-06,2253.0
2023-08-07,1018.0
2023-08-08,1360.0
2023-08-09,930.0
2023-08-10,2419.0
2023-08-11,855.0
2023-08-12,700.0
2023-08-13,5133.0
2023-08-14,1611.0
2023-08-15,2825.0
2023-08-16,4182.0
2023-08-17,2347.0
2023-08-18,4197.0
2023-08-19,4561.0
2023-08-20,2415.0
2023-08-21,3618.0
2023-08-22,3834.0
2023-08-23,3155.0
2023-08-24,6496.0
2023-08-25,3281.0
2023-08-26,474.0
2023-08-27,1489.0
2023-08-28,5065.0
2023-08-29,4680.0
2023-08-30,8270.0
2023-08-31,1279.0
2023-09-01,6742.0
2023-09-02,6084.0
2023-09-03,1014.0
2023-09-04,6108.0
2023-09-05,9522.0
2023-09-06,5984.0
2023-09-07,2810.0
2023-09-08,2525.0
2023-09-09,1739.0
2023-09-10,1226.0
2023-09-11,3911.0
2023-09-12,329.0
2023-09-13,4308.0
2023-09-14,3308.0
2023-09-15,345.0
2023-09-16,2282.0
2023-09-17,2205.0
2023-09-18,560.0
2023-09-19,1123.0
2023-09-20,4919.0
2023-09-21,1366.0
2023-09-22,7019.0
2023-09-23,1880.0
2023-09-24,2679.0
2023-09-25,4222.0
2023-09-26,5365.0
2023-09-27,7410.0
2023-09-28,6982.0
2023-09-29,5265.0
2023-09-30,3046.0
2023-10-01,2191.0
2023-10-02,6157.0
2023-10-03,2930.0
2023-10-04,4712.0
2023-10-05,2802.0
2023-10-06,5089.0
2023-10-07,12010.0
2023-10-08,17065.0
2023-10-09,4158.0
2023-10-10,4031.0
2023-10-11,1866.0
2023-10-12,2396.0
2023-10-13,4397.0
2023-10-14,227.0
2023-10-15,768.0
2023-10-16,3870.0
2023-10-17,4213.0
2023-10-18,3156.0
2023-10-19,2905.0
2023-10-20,4063.0
2023-10-21,251.0
2023-10-26,2132.0
2023-10-27,2539.0
2023-10-28,4006.0
2023-10-29,677.0
2023-10-30,5135.0
2023-10-31,4100.0
2023-11-01,4375.0
2023-11-02,6021.0
2023-11-03,3764.0
2023-11-04,361.0
2023-11-05,2522.0
2023-11-06,4741.0
2023-11-07,3899.0
2023-11-08,6424.0
2023-11-09,45.0
2023-11-10,2950.0
2023-11-11,4891.0
2023-11-12,2031.0
2023-11-13,2499.0
2023-11-14,3472.0
2023-11-15,3024.0
2023-11-16,2206.0
2023-11-17,4539.0
2023-11-18,4735.0
2023-11-19,151.0
2023-11-20,5749.0
2023-11-21,4758.0
2023-11-22,3461.0
2023-11-23,7556.0
2023-11-24,3257.0
2023-11-25,3366.0
2023-11-26,243.0
2023-11-27,2062.0
2023-11-28,3988.0
2023-11-29,2089.0
2023-11-30,9716.0
2023-12-01,3493.0
2023-12-02,808.0
2023-12-03,1156.0
2023-12-04,1874.0
2023-12-05,3534.0
2023-12-06,6261.0
2023-12-07,1450.0
2023-12-08,5723.0
2023-12-09,4349.0
2023-12-10,1536.0
2023-12-11,3806.0
2023-12-12,4287.0
2023-12-13,2911.0
2023-12-14,6724.0
2023-12-15,6306.0
2023-12-16,4714.0
2023-12-17,876.0
