date,value
2023-02-27,3.7077809999999998
2023-02-28,2.33297
2023-03-01,2.803627
2023-03-02,1.0304499999999999
2023-03-03,3.131092
2023-03-04,2.206029
2023-03-05,3.73932
2023-03-06,3.62627
2023-03-07,3.91735
2023-03-08,1.595337
2023-03-09,2.465389
2023-03-10,4.70507
2023-03-11,4.89431
2023-03-12,1.26007
2023-03-13,1.4218600000000001
2023-03-14,6.1063469999999995
2023-03-15,3.73608
2023-03-16,1.544209
2023-03-17,4.9492968
2023-03-18,3.9076999999999997
2023-03-19,0.08594
2023-03-20,2.64923
2023-03-21,3.07347
2023-03-22,2.0192633
2023-03-23,3.36379
2023-03-24,2.51448
2023-03-25,3.6625737000000003
2023-03-26,2.416045
2023-03-27,5.93642
2023-03-28,1.54781
2023-03-29,1.37167
2023-03-30,0.20044
2023-03-31,1.18369
2023-04-01,2.15366
2023-04-02,1.66952
2023-04-03,2.82097
2023-04-04,1.71187
2023-04-05,2.658918
2023-04-06,5.997341
2023-04-07,0.6222799999999999
2023-04-08,2.91817
2023-04-09,2.47938
2023-04-10,2.20224
2023-04-11,2.156
2023-04-12,0.91581
2023-04-13,1.50177
2023-04-14,3.15961
2023-04-15,1.47533
2023-04-16,0.42593000000000003
2023-04-17,1.80148
2023-04-18,2.0894
2023-04-19,2.270655
2023-04-20,0.04351
2023-04-21,2.6806680000000003
2023-04-22,5.42763
2023-04-23,3.971846
2023-04-24,0.66983
2023-04-25,1.326
2023-04-26,1.49157
2023-04-27,2.5954099999999998
2023-04-28,1.9636500000000001
2023-04-29,5.818179
2023-04-30,2.96762
2023-05-01,0.67248
2023-05-02,1.61889
2023-05-03,2.0848961
2023-05-04,0.10366
2023-05-05,2.19816
2023-05-06,2.28241
2023-05-07,0.16282
2023-05-08,0.28985
2023-05-09,0.16661
2023-05-10,0.61939
2023-05-11,1.585644
2023-05-12,1.0419100000000001
2023-05-13,1.6009099999999998
2023-05-14,2.93734
2023-05-15,2.018687
2023-05-16,0.70679
2023-05-17,1.704033
2023-05-18,2.90594
2023-05-19,0.7398399999999999
2023-05-20,7.673238
2023-05-21,1.33337
2023-05-22,2.8274
2023-05-23,4.33964
2023-05-24,1.19774
2023-05-25,0.60461
2023-05-26,1.93957
2023-05-27,0.32596
2023-05-28,1.99542
2023-05-29,0.10647
2023-05-30,2.06756
2023-05-31,3.70167
2023-06-01,4.099279
2023-06-02,4.911239
2023-06-03,2.69596
2023-06-04,3.19026
2023-06-05,4.349166
2023-06-06,1.8546500000000001
2023-06-07,6.4207350000000005
2023-06-08,3.0743
2023-06-09,8.068363
2023-06-10,0.17343
2023-06-11,2.7655
2023-06-12,3.92592
2023-06-13,0.79104
2023-06-14,3.391543
2023-06-15,5.943937
2023-06-16,0.030699999999999998
2023-06-17,1.1447
2023-06-18,1.26956
2023-06-19,4.73297
2023-06-20,2.1469
2023-06-21,1.3353
2023-06-22,0.10017000000000001
2023-06-23,2.20703
2023-06-24,4.991644
2023-06-25,1.49221
2023-06-26,0.1812
2023-06-27,1.73877
2023-06-28,1.01174
2023-06-29,2.06726
2023-06-30,4.302907
2023-07-01,3.18303
2023-07-02,2.20304
2023-07-03,0.46243
2023-07-04,1.766503
2023-07-05,7.158799
2023-07-06,5.16483
2023-07-07,3.11234
2023-07-08,1.11384
2023-07-09,1.06093
2023-07-10,2.84299
2023-07-11,6.251468
2023-07-12,1.04848
2023-07-13,0.08287
2023-07-14,4.370794
2023-07-15,1.76297
2023-07-16,1.463029
2023-07-17,2.22412
2023-07-18,0.2307456
2023-07-19,1.59639
2023-07-20,0.09866
2023-07-21,2.89486
2023-07-22,0.8107
2023-07-23,1.65577
2023-07-24,2.03932
2023-07-25,0.53599
2023-07-26,3.58519
2023-07-27,1.85141
2023-07-28,0.6386499999999999
2023-07-29,2.897066
2023-07-30,4.936545
2023-07-31,7.00504
2023-08-01,1.32448
2023-08-02,2.2956071000000002
2023-08-03,3.208122
2023-08-04,0.46816
2023-08-05,0.83213
2023-08-06,1.59808
2023-08-07,0.6944
2023-08-08,0.97621
2023-08-09,0.65728
2023-08-10,1.73484
2023-08-11,0.60996
2023-08-12,0.49353400000000003
2023-08-13,3.76158
2023-08-14,1.1686
2023-08-15,1.83162
2023-08-16,2.83834
2023-08-17,1.6831399999999999
2023-08-18,2.819429
2023-08-19,3.108721
2023-08-20,1.74383
2023-08-21,2.587231
2023-08-22,2.8554
2023-08-23,2.32861
2023-08-24,4.590015
2023-08-25,2.34565
2023-08-26,0.33363
2023-08-27,1.0351299999999999
2023-08-28,3.6086878000000002
2023-08-29,3.455609
2023-08-30,5.588973
2023-08-31,0.90434
2023-09-01,4.6550136
2023-09-02,4.3274099999999995
2023-09-03,0.80906
2023-09-04,4.382554
2023-09-05,6.492373
2023-09-06,4.18208
2023-09-07,1.86457
2023-09-08,1.8044339999999999
2023-09-09,1.17232
2023-09-10,0.8727929999999999
2023-09-11,2.824116
2023-09-12,0.23909
2023-09-13,3.06521
2023-09-14,2.313035
2023-09-15,0.24044
2023-09-16,1.58839
2023-09-17,1.56938
2023-09-18,0.3887
2023-09-19,0.8181
2023-09-20,3.33413
2023-09-21,1.006412
2023-09-22,4.994111
2023-09-23,1.345802
