date,type,value
2021-11-27,StepCount,9470.0
2021-11-27,FlightsClimbed,4.0
2021-11-27,DistanceWalkingRunning,6.196097
2021-11-28,StepCount,2557.0
2021-11-28,FlightsClimbed,7.0
2021-11-28,DistanceWalkingRunning,1.6569800000000001
2021-11-29,StepCount,3191.0
2021-11-29,FlightsClimbed,7.0
2021-11-29,DistanceWalkingRunning,2.24278
2021-11-30,StepCount,1146.0
2021-11-30,FlightsClimbed,5.0
2021-11-30,DistanceWalkingRunning,0.80576
2021-12-01,StepCount,9784.0
2021-12-01,FlightsClimbed,10.0
2021-12-01,DistanceWalkingRunning,6.899355
2021-12-02,StepCount,4809.0
2021-12-02,FlightsClimbed,12.0
2021-12-02,DistanceWalkingRunning,3.5015419999999997
2021-12-03,StepCount,1263.0
2021-12-03,FlightsClimbed,6.0
2021-12-03,DistanceWalkingRunning,0.91228
2021-12-04,StepCount,1490.0
2021-12-04,FlightsClimbed,3.0
2021-12-04,DistanceWalkingRunning,1.04019
2021-12-05,StepCount,428.0
2021-12-05,FlightsClimbed,2.0
2021-12-05,DistanceWalkingRunning,0.29
2021-12-06,StepCount,2439.0
2021-12-06,FlightsClimbed,3.0
2021-12-06,DistanceWalkingRunning,1.88078
2021-12-07,StepCount,5730.0
2021-12-07,FlightsClimbed,8.0
2021-12-07,DistanceWalkingRunning,4.18017
2021-12-08,StepCount,1082.0
2021-12-08,FlightsClimbed,5.0
2021-12-08,DistanceWalkingRunning,0.79734
2021-12-09,StepCount,3755.0
2021-12-09,FlightsClimbed,6.0
2021-12-09,DistanceWalkingRunning,2.620421
2021-12-10,StepCount,2962.0
2021-12-10,FlightsClimbed,13.0
2021-12-10,DistanceWalkingRunning,2.102
2021-12-11,StepCount,1163.0
2021-12-11,FlightsClimbed,2.0
2021-12-11,DistanceWalkingRunning,0.81813
2021-12-12,StepCount,1111.0
2021-12-12,FlightsClimbed,1.0
2021-12-12,DistanceWalkingRunning,0.82607
2021-12-13,StepCount,4038.0
2021-12-13,FlightsClimbed,10.0
2021-12-13,DistanceWalkingRunning,2.95368
2021-12-14,StepCount,3892.0
2021-12-14,FlightsClimbed,4.0
2021-12-14,DistanceWalkingRunning,2.67438
2021-12-15,StepCount,1229.0
2021-12-15,FlightsClimbed,3.0
2021-12-15,DistanceWalkingRunning,0.87124
2021-12-16,StepCount,1565.0
2021-12-16,FlightsClimbed,6.0
2021-12-16,DistanceWalkingRunning,1.13555
2021-12-17,StepCount,7627.0
2021-12-17,FlightsClimbed,11.0
2021-12-17,DistanceWalkingRunning,5.51097
2021-12-18,StepCount,6842.0
2021-12-18,FlightsClimbed,2.0
2021-12-18,DistanceWalkingRunning,4.8390509999999995
2021-12-19,StepCount,236.0
2021-12-19,FlightsClimbed,0.0
2021-12-19,DistanceWalkingRunning,0.16763999999999998
2021-12-20,StepCount,3885.0
2021-12-20,FlightsClimbed,5.0
2021-12-20,DistanceWalkingRunning,2.629111
